"User_hour_ID","User_daily_ID","Hour","MoodEA","MoodTA","Health","Location","Activity","rec_no","id","device_id"
"trinhthikhanhquynh_2016_7_26_17","trinhthikhanhquynh_2016_7_26","17","0","2","Normal","Home","Individual Task","49","646","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_26_18","trinhthikhanhquynh_2016_7_26","18","4","0","Good","Home","Offical Task","50","647","d4d4f36a74a6edb4"
"abc_2016_7_26_13","abc_2016_7_26","13","3","1","Good","Office (University)","Offical Task","35","648","1129a092786099b3"
"lethivui_2016_7_26_18","lethivui_2016_7_26","18","3","1","Good","On the Road","Individual Task","26","650","ae93bc259cdc15e5"
"lethivui_2016_7_26_19","lethivui_2016_7_26","19","2","2","Normal","Home","Individual Task","27","654","ae93bc259cdc15e5"
"abc_2016_7_26_14","abc_2016_7_26","14","2","3","Good","Office (University)","Offical Task","36","655","1129a092786099b3"
"lethivui_2016_7_26_20","lethivui_2016_7_26","20","2","2","Normal","Home","Individual Task","28","656","ae93bc259cdc15e5"
"trinhthikhanhquynh_2016_7_26_20","trinhthikhanhquynh_2016_7_26","20","3","0","Good","On the Road","Relaxing activities","51","659","d4d4f36a74a6edb4"
"abc_2016_7_26_15","abc_2016_7_26","15","2","3","Good","Office (University)","Offical Task","37","660","1129a092786099b3"
"abc_2016_7_26_16","abc_2016_7_26","16","2","1","Good","Office (University)","Offical Task","38","662","1129a092786099b3"
"maihang212_2016_7_26_21","maihang212_2016_7_26","21","0","0","Good","Home","Relaxing activities","1","663","408cfd767246a64a"
"trinhthikhanhquynh_2016_7_26_21","trinhthikhanhquynh_2016_7_26","21","4","0","Good","Home","Individual Task","52","664","d4d4f36a74a6edb4"
"maihang212_2016_7_26_22","maihang212_2016_7_26","22","2","2","Good","Home","Relaxing activities","2","666","408cfd767246a64a"
"lethivui_2016_7_26_22","lethivui_2016_7_26","22","1","2","Bad","On the Road","Individual Task","29","667","ae93bc259cdc15e5"
"trinhthikhanhquynh_2016_7_26_22","trinhthikhanhquynh_2016_7_26","22","3","2","Good","Home","Individual Task","53","668","d4d4f36a74a6edb4"
"abc_2016_7_26_17","abc_2016_7_26","17","2","2","Good","Office (University)","Offical Task","39","669","1129a092786099b3"
"abc_2016_7_26_19","abc_2016_7_26","19","1","2","Good","Office (University)","Offical Task","41","672","1129a092786099b3"
"abc_2016_7_26_20","abc_2016_7_26","20","2","1","Good","Home","Offical Task","42","673","1129a092786099b3"
"lethivui_2016_7_27_1","lethivui_2016_7_27","1","1","3","Normal","Home","Individual Task","30","675","ae93bc259cdc15e5"
"abc_2016_7_26_21","abc_2016_7_26","21","0","0","Good","Home","Offical Task","43","676","1129a092786099b3"
"abc_2016_7_26_18","abc_2016_7_26","18","2","1","Good","Office (University)","Offical Task","40","677","1129a092786099b3"
